id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50232100,"Outdoor Retreat-Huge Deck+Yard. Near SOCO, DT, AUS",267686048,Timmy,,78741,30.2227,-97.72706,Entire home/apt,121,3,6,2021-11-27,1.86,3,342,6,
50237510,Large and Fully Updated 4 bed 3 bath home,154119017,Matt,,78750,30.4552,-97.80032,Entire home/apt,209,3,4,2021-07-18,0.71,1,0,4,
50237573,Corner Penthouse with Capital & Downtown Views,4626436,Caroline,,78701,30.280743,-97.740479,Entire home/apt,118,30,2,2021-08-29,0.40,1,231,2,
50240307,Secluded Retreat - 5 Acres with Rain-Fed Pool,147935772,David,,78746,30.31724,-97.7987,Entire home/apt,440,2,9,2021-11-26,2.01,3,68,9,
50241142,"5-Acre Estate with 2 units, Rain-fed Pool",147935772,David,,78746,30.3149,-97.79888,Entire home/apt,850,2,1,2021-09-12,0.33,3,148,1,
50245387,Hip Downtown Retreat,19853794,Timothy,,78741,30.22397,-97.69156,Entire home/apt,164,4,2,2021-10-29,1.07,1,75,2,
50247227,1 BD/1 BA In the Heart of Austin - SoCo Gem,83793860,Steve,,78704,30.2346,-97.75124,Entire home/apt,111,2,8,2021-11-30,3.43,1,0,8,
50247728,Spacious 1 bedroom with a city view - 10 min to DT,1922924,Jessica,,78741,30.2305,-97.71981,Entire home/apt,142,2,2,2021-07-05,0.33,1,346,2,
50248280,Enjoy Like Local ❤️ w/ King Beds & Fast WiFi | 2BR,247023420,Bon Voyage,,78741,30.21979,-97.70791,Entire home/apt,76,3,15,2021-11-24,2.81,3,30,15,
50259839,Spectacular 1 Bedroom Suite With Modern Elegance,405778363,Holly,,78734,30.38421,-97.94431,Entire home/apt,150,2,10,2021-12-05,2.04,1,89,10,
50261078,Stay in a place of your own | 2BR in Austin,359036978,Casey,,78745,30.18182,-97.77781,Entire home/apt,171,30,0,,,329,365,0,
50264784,Charming Travis Heights 1/1 w private front patio,380320577,Ana,,78704,30.23932,-97.74219,Entire home/apt,65,7,15,2021-11-01,2.56,8,68,15,
